,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
105,MLH1,2.5531608361374637e-05,0.015009443449941652,0.0010188565076231003,-0.0005302031500909983,0.0008577078196686815,0.006555909163643906,0.0001424720583195419,-0.010899831135747511,0.0043799943616745956
106,RARB,-0.0006088490468769292,0.008824275795663106,-0.00016761350203682888,0.004252514747023806,0.00011906809231319246,0.002135675214091012,0.0008586877367865683,-0.002856520709962213,0.002477900605594207
107,GTF3C1,0.003856578760640149,-0.004680542491942245,0.002351116865108297,0.00023366818752618875,-0.0009377075129184149,-0.006743692597694692,0.0011761149453284577,-0.006458454149440923,0.003304734438824921
108,IL4R,0.0004363880168756356,-0.014690456946574842,0.0012716509364673184,-0.007415762209522121,-0.0006804654536973004,-0.011053796473384203,-0.0010478738587083917,0.0029892894305539913,0.004948210415722975
109,FGFR1,0.0006047991461890918,-0.010770728600603473,-0.0018826629029246283,-0.003867263400171659,0.00020189599355450994,-0.0031185779515458777,-0.0008774407731415659,0.007076963009555125,0.0035500414722107413
110,ARAF,-0.002875964661422903,0.00382462273237631,5.630469033953094e-05,0.009127382367208212,-0.00014304448685470374,-0.0028143660945306455,-0.00034837514388621,0.005672186793613253,0.003107780871278971
111,FAP,0.00026839462047257873,-0.0027168546049893116,0.0005621972699789628,0.0074785070670127605,0.00014756517523157995,-0.004085490267749121,0.00026511443764746893,-0.0007691950743394546,0.002036664814677655
112,PIK3C3,0.0010204810893720392,-0.005697826671888132,-0.001213107313158726,0.0012760833110999118,0.001234204745962397,0.00013189977012951983,0.00032440400192672026,-0.0020246163644601976,0.0016153279084997055
113,FGF20,-0.0013595438039665634,-0.01368812275095574,-0.00033219918506111263,-0.0038651900481158907,-0.00023794961113638905,0.004957441240738065,-0.0016999518931240217,0.004690183304835113,0.0038538227297416116
114,TP73,-0.00044851524336367445,0.007852325507394111,0.00016922941473392961,0.012440289010334478,0.00028156047705261695,-0.0030096103765089753,0.0011103007290022152,-0.002715648549535728,0.003503434913490716
115,CDH17,0.00030761469824716435,-0.0063081862962062795,0.0001633156690384889,-0.001996993178124089,-0.0017316548341945988,0.0008259237981647906,-0.0006414740811683537,0.002271116720606736,0.0017807849094688126
116,XRCC5,-0.0005500500821926473,0.00846627690376015,0.0002782978091852848,0.001958566188442843,0.0016158219349319447,0.0004208086914832879,0.0007499360140421753,-0.001361229874325232,0.0019251234372954455
117,CEACAM1,0.001963765703341329,-0.006459032658467622,0.00031308026246388583,-0.00013324624528022463,0.000764288256797309,-0.0055315820943337346,0.00010414953710677299,0.0019159135660811483,0.0021481322904840037
118,HSP90AA1,9.445602275521489e-05,-0.007407561876475498,0.002365017726571594,-0.00802835050212675,0.0015887535579563487,-0.0032257031570922163,-0.003510275058573603,0.008996132587217764,0.0044020313110961235
